zipcode,male,white,median_age
61878,0.52,0.96,49.3
61880,0.50,0.93,38.5
61882,0.54,0.93,52.5
61883,0.47,0.95,38.2
61884,0.50,1.00,50.7
61910,0.48,0.91,34.7
61911,0.48,0.99,32.3
61912,0.47,0.99,48.5
61913,0.47,0.98,46.4
61914,0.49,0.99,45.5
61917,0.52,1.00,48.1
61919,0.46,1.00,49.4
61920,0.48,0.88,28.7
61924,0.50,0.99,49.3
61925,0.56,0.99,37.5
61928,0.59,0.95,44.9
61929,0.52,0.98,48.8
61930,0.45,1.00,33
61931,0.50,0.99,40.2
61932,0.50,0.98,45
61933,0.51,0.99,48.4
61936,0.47,1.00,40.5
61937,0.51,0.95,40
61938,0.49,0.97,41.8
61940,0.50,0.96,46.6
61941,0.56,1.00,53.6
61942,0.47,0.96,53.6
61943,0.48,0.99,47.5
61944,0.49,0.99,44
61949,0.43,0.91,55.1
61951,0.49,0.98,41.2
61953,0.53,0.97,39.9
61955,0.48,0.96,45.8
61956,0.52,0.94,43.1
61957,0.50,0.98,41.7
62001,0.45,1.00,46.6
62002,0.48,0.75,42.1
62006,0.53,1.00,45.5
62009,0.53,0.98,39.9
62010,0.49,0.97,41.3
62011,0.56,1.00,65.9
62012,0.52,0.98,45.9
62013,0.48,1.00,46.8
62014,0.49,0.97,40.4
62015,0.48,0.98,40.8
62016,0.50,0.96,39.6
62017,0.53,0.98,51.3
62018,0.49,0.97,44.2
62019,0.49,0.96,52.8
62021,0.49,1.00,43.9
62022,0.46,0.96,52.6
62023,0.50,0.87,31.3
62024,0.49,0.94,40
62025,0.50,0.86,32.9
62027,0.51,0.95,51.3
62028,0.52,0.93,21.8
62030,0.42,0.85,54.5
62031,0.52,0.98,50.8
62032,0.45,0.99,44.5
62033,0.49,0.95,44.2
62034,0.50,0.92,39.9
62035,0.49,0.91,46.8
62036,0.55,1.00,59.5
62037,0.52,0.97,48.4
62040,0.49,0.88,42
62044,0.45,1.00,47
62045,0.55,0.96,56.4
62046,0.48,0.98,33.8
62047,0.50,0.95,38.2
62048,0.47,0.99,33.7
62049,0.62,0.87,40.4
62050,0.42,1.00,32.8
62051,0.52,1.00,55.3
62052,0.48,0.97,40.2
62053,0.48,0.99,39.5
62054,0.62,0.94,44.5
62056,0.48,0.97,44.9
62058,0.53,0.98,49.5
62059,0.41,0.04,55.3
62060,0.47,0.44,39.8
62061,0.50,0.98,40.5
62062,0.48,0.91,45.5
62063,0.47,1.00,51.9
62065,0.25,1.00,19
62067,0.46,0.99,47.2
62069,0.50,0.99,46.4
62070,0.38,1.00,-
62074,0.43,0.97,47
62075,0.48,0.97,39.3
